park_name,lon,lat
Abraham Lincoln Birthplace NHP,-85.733899,37.5320335
Acadia NP,-68.2733346,44.3385559
Adams NHP,-71.0039822,42.25235319999999
African Burial Ground NM,-74.0043973,40.7145049
Agate Fossil Beds NM,-103.7342402,42.4252103
Alibates Flint Quarries NM,-101.6698299,35.5836092
Allegheny Portage Railroad NHS,-78.5492567,40.457305
Amistad NRA,-100.9952685,29.4955775
Andersonville NHS,-84.1303207,32.2002948
Andrew Johnson NHS,-82.8294485,36.1627802
Aniakchak NM & PRES,-158.0989777,56.903644
Antietam NB,-77.7387923,39.4687452
Apostle Islands NL,-90.63333209999999,46.9302046
Appomattox Court House NHP,-78.7960069,37.3775201
Arches NP,-109.5925139,38.733081
Arkansas Post NMEM,-91.3478851,34.0210974
Arlington House The R.E. Lee MEM,-77.07261629999999,38.8811673
Assateague Island NS,-75.2362382,38.0607973
Aztec Ruins NM,-108.000093,36.8372086
Badlands NP,-102.3396912,43.8553804
Bandelier NM,-106.3228338,35.7646658
Belmont-Paul Women's Equality NM,-77.003768,38.892316
Bent's Old Fort NHS,-103.4295033,38.0404268
Bering Land Bridge NPRES,NA,NA
Big Bend NP,-103.2425379,29.1274869
Big Cypress NPRES,-81.0754657,26.0485819
Big Hole NB,-113.6434203,45.6413441
Big South Fork NRRA,-84.65137399999999,36.470717
Big Thicket NPRES,-94.3473144,30.4721792
Bighorn Canyon NRA,-107.9359118,45.3109005
Biscayne NP,-80.20831030000001,25.4824229
Black Canyon of the Gunnison NP,-107.7415961,38.5753936
Blue Ridge PKWY,-80.12914119999999,37.1199734
Bluestone NSR,-81.167565,37.3981898
Booker T. Washington NM,-79.7316768,37.1195544
Boston African American NHS,-71.0652188,42.3599803
Boston NHP,-71.056834,42.373162
Brices Cross Roads,-88.72887399999999,34.5061819
Brown v. Board of Education NHS,-95.67635030000001,39.0379422
Bryce Canyon NP,-112.1870895,37.593037699999996
Buck Island Reef NM,-64.62061059999999,17.7870946
Buffalo NR,-78.8783689,42.88644679999999
Cabrillo NM,-117.2425191,32.6735426
Canaveral NS,-80.7563754,28.789536
Cane River Creole NHP,-93.0033638,31.6652693
Canyon de Chelly NM,-109.4694444,36.1336111
Canyonlands NP,-109.8782592,38.3268693
Cape Cod NS,-69.9789243,41.9043472
Cape Hatteras NS,-75.5392755,35.2426424
Cape Krusenstern NM,-163.7452778,67.12805560000001
Cape Lookout NS,-76.52462070000001,34.6227474
Capitol Reef NP,-111.2615042,38.3669703
Capulin Volcano NM,-103.9695127,36.7810744
Carl Sandburg Home NHS,-82.4472471,35.2714108
Carlsbad Caverns NP,-104.5567138,32.1478553
Carter G. Woodson Home NHS,-77.0242075,38.9108164
Casa Grande Ruins NM,-111.5355282,32.9954589
Castillo de San Marcos NM,-81.31151870000001,29.89786179999999
Castle Clinton NM,-74.0168023,40.7034401
Catoctin Mountain Park,-77.45020149999999,39.6340514
Cedar Breaks NM,-112.8450248,37.6359544
Cesar E. Chavez NM,-118.5590097,35.2234505
Chaco Culture NHP,-107.955924,36.05299979999999
Chamizal NMEM,-106.4542166,31.7671438
Channel Islands NP,-119.778533,34.0069361
Charles Pinckney NHS,-79.82395989999999,32.8455749
Charles Young Buffalo Soldiers NM,-83.89019689999999,39.7072251
Chattahoochee River NRA,-84.3245709,33.9872783
Chesapeake & Ohio Canal NHP,-76.2874927,36.7682088
Chickamauga & Chattanooga NMP,-85.2907896,34.8711879
Chickasaw NRA,-97.00640430000001,34.4615433
Chiricahua NM,-109.3422953,32.0135714
Christiansted NHS,-64.7021636,17.7471645
City of Rocks NRES,-113.6340817,42.0993639
Clara Barton NHS,-77.14078099999999,38.9672478
Colonial NHP,-76.50390329999999,37.2291337
Colorado NM,-108.6938999,39.0575219
Congaree NP,-80.7820962,33.7948001
Coronado NMEM,-110.2537755,31.3458652
Cowpens NB,-81.8181625,35.1367361
Crater Lake NP,-122.1684785,42.8684411
Craters of the Moon NM & PRES,-113.5001702,43.2058067
Cumberland Gap NHP,-83.67297,36.6039715
Cumberland Island NS,-81.4505294,30.8659411
Curecanti NRA,-107.1666799,38.4657461
Cuyahoga Valley NP,-81.56781199999999,41.2808248
Dayton Aviation Heritage NHP,-84.2116472,39.7559858
De Soto NMEM,-82.6445936,27.5222794
Death Valley NP,-117.0794078,36.5053891
Delaware Water Gap NRA,-74.9442586,41.1043946
Denali NP & PRES,-151.1926057,63.1148002
Devils Postpile NM,-119.0849506,37.6251062
Devils Tower NM,-104.7146168,44.5902098
Dinosaur NM,-108.9416357,40.4927109
Dry Tortugas NP,-82.87318739999999,24.628477
Edgar Allan Poe NHS,-75.149981,39.962057
Effigy Mounds NM,-91.2006419,43.089214
Eisenhower NHS,-77.2633159,39.7939108
El Malpais NM,-107.9942365,34.9002575
El Morro NM,-108.3450813,35.0396358
Eleanor Roosevelt NHS,-73.89909759999999,41.7631389
Eugene O'Neill NHS,-122.0272732,37.8259226
Everglades NP,-80.89865089999999,25.2866155
Federal Hall NMEM,-74.0102088,40.7073993
Fire Island NS,-73.10343069999999,40.6553691
First Ladies NHS,-81.37534099999999,40.797618
Flight 93 NMEM,-78.9011661,40.0548157
Florissant Fossil Beds NM,-105.2854076,38.9136173
Ford's Theatre NHS,-77.0256687,38.89667
Fort Bowie NHS,-109.452661,32.156556
Fort Caroline NMEM,-81.5003672,30.38690639999999
Fort Davis NHS,-103.8917227,30.5974177
Fort Donelson NB,-87.85695249999999,36.4953082
Fort Frederica NM,-81.389279,31.223111
Fort Laramie NHS,-104.5560183,42.2036873
Fort Larned NHS,-99.2181425,38.1828653
Fort Matanzas NM,-81.2392182,29.7151961
Fort McHenry NM & HS,-76.57990579999999,39.2633021
Fort Necessity NB,-79.58878279999999,39.8152283
Fort Point NHS,-122.4770527,37.8106185
Fort Pulaski NM,-80.89048679999999,32.02706
Fort Raleigh NHS,-75.7097314,35.9362116
Fort Scott NHS,-94.70473299999999,37.8436307
Fort Smith NHS,-94.42976469999999,35.3883026
Fort Stanwix NM,-75.4552778,43.2105556
Fort Sumter and Fort Moultrie NHP,-79.8578543,32.7592457
Fort Union NM,-105.0131863,35.9074812
Fort Union Trading Post NHS,-104.0405818,47.9994421
Fort Vancouver NHS,-122.6550957,45.6257476
Fort Washington Park,-77.0246889,38.7126284
Fossil Butte NM,-110.7658867,41.85818039999999
Franklin Delano Roosevelt MEM,-77.0424441,38.8829478
Frederick Douglass NHS,-76.9851973,38.8632895
Frederick Law Olmsted NHS,-71.1320319,42.3254659
Fredericksburg & Spotsylvania NMP,-98.8719843,30.2752011
Friendship Hill NHS,-79.9314768,39.7776149
Gates of the Arctic NP & PRES,-153.4637908,67.91462969999999
Gateway Arch NP,-90.1854426,38.6246855
Gateway NRA,-73.9887047,40.439669
Gauley River NRA,-81.01473,38.2089655
General Grant NMEM,-73.9630671,40.8134045
George Rogers Clark NHP,-87.5367095,38.6779982
George Washington Birthplace NM,-76.9201563,38.1838617
George Washington Carver NM,-94.3556725,36.9873287
George Washington MEM PKWY,-77.0490823,38.8435735
Gettysburg NMP,-77.233732,39.8132494
Gila Cliff Dwellings NM,-108.2722727,33.2272903
Glacier Bay NP & PRES,-136.9002147,58.66580729999999
Glacier NP,-113.7870225,48.7596128
