"";"year";"gnis_id";"geometry";"metadata";"number_of_records";"parkname";"region";"state";"unit_code";"unit_name";"unit_type";"visitors"
"1";"1904";"1163670";"POLYGON";NA;1;"Crater Lake";"PW";"OR";"CRLA";"Crater Lake National Park";"National Park";1500
"2";"1941";"1531834";"MULTIPOLYGON";NA;1;"Lake Roosevelt";"PW";"WA";"LARO";"Lake Roosevelt National Recreation Area";"National Recreation Area";0
"3";"1961";"2055170";"MULTIPOLYGON";NA;1;"Lewis and Clark";"PW";"WA";"LEWI";"Lewis and Clark National Historical Park";"National Historical Park";69000
"4";"1935";"1530459";"MULTIPOLYGON";NA;1;"Olympic";"PW";"WA";"OLYM";"Olympic National Park";"National Park";2200
"5";"1982";"277263";"POLYGON";NA;1;"Santa Monica Mountains";"PW";"CA";"SAMO";"Santa Monica Mountains National Recreation Area";"National Recreation Area";468144
"6";"1919";"578853";"MULTIPOLYGON";NA;1;"Acadia";"NE";"ME";"ACAD";"Acadia National Park";"National Park";64000
"7";"1969";"1329499";"MULTIPOLYGON";NA;1;"Amistad National Recreation Area";"IM";"TX";"AMIS";"Amistad National Recreation Area";"National Recreation Area";448000
"8";"1967";"589056";"POLYGON";NA;1;"Assateague Island National Seashore";"NE";"MD";"ASIS";"Assateague Island National Seashore";"National Seashore";738700
"9";"1944";"1377082";"POLYGON";NA;1;"Big Bend";"IM";"TX";"BIBE";"Big Bend National Park";"National Park";1409
"10";"1989";"302659";"POLYGON";NA;1;"Big Cypress National Preserve";"SE";"FL";"BICY";"Big Cypress National Preserve";"National Preserve";81157
"11";"1988";"1309762";"MULTIPOLYGON";NA;1;"Big South Fork National River and Recreation Area";"SE";"TN";"BISO";"Big South Fork National River and Recreation Area";"National River and Recreation Area";613011
"12";"1941";"1009494";"MULTIPOLYGON";NA;1;"Blue Ridge Parkway";"NT";"NC";"BLRI";"Blue Ridge Parkway";"Parkway";895874
"13";"1993";"1877617";"POLYGON";NA;1;"Bluestone National Scenic River";"NE";"WV";"BLUE";"Bluestone National Scenic River";"National Scenic River";51848
"14";"1955";"982628";"MULTIPOLYGON";NA;1;"Cape Hatteras National Seashore";"SE";"NC";"CAHA";"Cape Hatteras National Seashore";"National Seashore";264500
"15";"1976";"1000889";"POLYGON";NA;1;"Cape Lookout National Seashore";"SE";"NC";"CALO";"Cape Lookout National Seashore";"National Seashore";21000
"16";"1980";"1688073";"POLYGON";NA;1;"Chattahoochee River National Recreation Area";"SE";"GA";"CHAT";"Chattahoochee River National Recreation Area";"National Recreation Area";345956
"17";"1934";"330990";"MULTIPOLYGON";NA;1;"Chickamauga and Chattanooga National Military Park";"SE";"GA";"CHCH";"Chickamauga and Chattanooga National Military Park";"National Military Park";44261
"18";"1951";"583731";"MULTIPOLYGON";NA;1;"Chesapeake and Ohio Canal National Historical Park";"NC";"DC";"CHOH";"Chesapeake and Ohio Canal National Historical Park";"National Historical Park";32512
"19";"1925";"1986829";"MULTIPOLYGON";NA;1;"Craters of the Moon National Monument";"PW";"ID";"CRMO";"Craters of the Moon National Monument";"National Monument";3349
"20";"1976";"325829";"MULTIPOLYGON";NA;1;"Cumberland Island National Seashore";"SE";"GA";"CUIS";"Cumberland Island National Seashore";"National Seashore";17800
"21";"1969";"1193711";"POLYGON";NA;1;"Delaware Water Gap National Recreation Area";"NE";"PA";"DEWA";"Delaware Water Gap National Recreation Area";"National Recreation Area";666300
"22";"1988";"1888913";"MULTIPOLYGON";NA;1;"El Malpais National Monument";"IM";"NM";"ELMA";"El Malpais National Monument";"National Monument";23546
"23";"1948";"293666";"POLYGON";NA;1;"Everglades";"SE";"FL";"EVER";"Everglades National Park";"National Park";7482
"24";"1967";"970121";"MULTIPOLYGON";NA;1;"Fire Island National Seashore";"NE";"NY";"FIIS";"Fire Island National Seashore";"National Seashore";417300
"25";"1941";"985324";"POLYGON";NA;1;"Fort Raleigh National Historic Site";"SE";"NC";"FORA";"Fort Raleigh National Historic Site";"National Historic Site";79049
"26";"1993";"1741168";"POLYGON";NA;1;"Gauley River National Recreation Area";"NE";"WV";"GARI";"Gauley River National Recreation Area";"National Recreation Area";195314
"27";"1931";"1018241";"MULTIPOLYGON";NA;1;"Great Smoky Mountains";"SE";"NC";"GRSM";"Great Smoky Mountains National Park";"National Park";154000
"28";"1941";"1177725";"MULTIPOLYGON";NA;1;"Independence National Historical Park";"NE";"PA";"INDE";"Independence National Historical Park";"National Historical Park";2862
"29";"1940";"1616980";"POLYGON";NA;1;"Isle Royale";"MW";"MI";"ISRO";"Isle Royale National Park";"National Park";2962
"30";"1971";"1384770";"POLYGON";NA;1;"Lake Meredith National Recreation Area";"IM";"TX";"LAMR";"Lake Meredith National Recreation Area";"National Recreation Area";1159600
"31";"1979";"1888940";"MULTIPOLYGON";NA;1;"Lowell National Historical Park";"NE";"MA";"LOWE";"Lowell National Historical Park";"National Historical Park";92839
"32";"2011";"1888944";"POLYGON";NA;1;"Mississippi National River and Recreation Area";"MW";"MN";"MISS";"Mississippi National River and Recreation Area";"National River and Recreation Area";99398
"33";"2004";"2733411";"MULTIPOLYGON";NA;1;"Missouri National Recreation River";"MW";"SD";"MNRR";"Missouri National Recreation River";"National Recreation River";48149
"34";"1968";"394735";"MULTIPOLYGON";NA;1;"Nez Perce National Historical Park";"PW";"WA";"NEPE";"Nez Perce National Historical Park";"National Historical Park";32800
"35";"1984";"1877618";"POLYGON";NA;1;"New River Gorge National River";"NE";"VA";"NERI";"New River Gorge National River";"National River";231295
"36";"1987";"1309684";"POLYGON";NA;1;"Obed Wild and Scenic River";"SE";"TN";"OBRI";"Obed Wild and Scenic River";"Wild and Scenic River";6722
"37";"1971";"277109";"POLYGON";NA;1;"Redwood";"PW";"CA";"REDW";"Redwood National Park";"National Park";34500
"38";"1985";"2766087";"POLYGON";NA;1;"Rio Grande Wild and Scenic River";"IM";"TX";"RIGR";"Rio Grande Wild and Scenic River";"Wild and Scenic River";702
"39";"1973";"530563";"MULTIPOLYGON";NA;1;"Rock Creek Park";"NC";"DC";"ROCR";"Rock Creek Park";"Park";559000
"40";"1979";"1879024";"MULTIPOLYGON";NA;1;"San Juan National Historic Site";"SE";"PR";"SAJU";"San Juan National Historic Site";"National Historic Site";1458778
"41";"1936";"1488805";"MULTIPOLYGON";NA;1;"Shenandoah";"NE";"VA";"SHEN";"Shenandoah National Park";"National Park";694098
"42";"1934";"1270094";"MULTIPOLYGON";NA;1;"Shiloh National Battlefield";"SE";"MS";"SHIL";"Shiloh National Battlefield";"National Battlefield";50000
"43";"1976";"638101";"MULTIPOLYGON";NA;1;"Sleeping Bear Dunes National Lakeshore";"MW";"MI";"SLBE";"Sleeping Bear Dunes National Lakeshore";"National Lakeshore";696600
"44";"1989";"1877509";"POLYGON";NA;1;"Steamtown National Historic Site";"NE";"PA";"STEA";"Steamtown National Historic Site";"National Historic Site";101761
"45";"1934";"1888964";"MULTIPOLYGON";NA;1;"Stones River National Battlefield";"SE";"TN";"STRI";"Stones River National Battlefield";"National Battlefield";1614
"46";"1992";"2733416";"MULTIPOLYGON";NA;1;"Timucuan Ecological and Historic Preserve";"SE";"FL";"TIMU";"Timucuan Ecological and Historic Preserve";"Ecological and Historic Preserve";49861
"47";"1934";"679217";"MULTIPOLYGON";NA;1;"Vicksburg National Military Park";"SE";"LA";"VICK";"Vicksburg National Military Park";"National Military Park";216000
"48";"1934";"203271";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/BLCA_metadata.xml";1;"Black Canyon of the Gunnison";"IM";"CO";"BLCA";"Black Canyon of the Gunnison National Park";"National Park";2592
"49";"1941";"806297";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/LIBI_metadata.xml";1;"Little Bighorn Battlefield";"IM";"MT";"LIBI";"Little Bighorn Battlefield National Monument";"National Monument";67953
"50";"1919";"936867";"POLYGON";"http://nrdata.nps.gov/programs/Lands/CAVO_metadata.xml";1;"Capulin Volcano";"IM";"NM";"CAVO";"Capulin Volcano National Monument";"National Monument";1500
"51";"1969";"1888916";"POLYGON";"http://nrdata.nps.gov/programs/Lands/FOBO_metadata.xml";1;"Fort Bowie";"IM";"AZ";"FOBO";"Fort Bowie National Historic Site";"National Historic Site";800
"52";"1934";"928945";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/GICL_metadata.xml";1;"Gila Cliff Dwellings";"IM";"NM";"GICL";"Gila Cliff Dwellings National Monument";"National Monument";75
"53";"1940";"1470042";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/MANA_metadata.xml";1;"Manassas";"NC";"VA";"MANA";"Manassas National Battlefield Park";"National Battlefield Park";5340
"54";"1920";"35519";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/TUMA_metadata.xml";1;"Tumacacori";"IM";"AZ";"TUMA";"Tumacacori National Historical Park";"National Historical Park";4300
"55";"1940";"35601";"POLYGON";"http://nrdata.nps.gov/programs/Lands/TUZI_metadata.xml";1;"Tuzigoot";"IM";"AZ";"TUZI";"Tuzigoot National Monument";"National Monument";6125
"56";"1941";"830099";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/HOME_metadata.xml";1;"Homestead";"MW";"NE";"HOME";"Homestead National Monument of America";"National Monument";1400
"57";"1971";"1888974";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/WOTR_metadata.xml";1;"Wolf Trap Farm Park";"NC";"VA";"WOTR";"Wolf Trap National Park for the Performing Arts";"National Park";282200
"58";"1991";"588388";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/MONO_metadata.xml";1;"Monocacy";"NC";"MD";"MONO";"Monocacy National Battlefield";"National Battlefield";0
"59";"1934";"589057";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/ANTI_metadata.xml";1;"Antietam";"NC";"MD";"ANTI";"Antietam National Battlefield";"National Battlefield";35973
"60";"1934";"307911";"POLYGON";"http://nrdata.nps.gov/programs/Lands/CASA_metadata.xml";1;"Castillo de San Marcos";"SE";"FL";"CASA";"Castillo de San Marcos National Monument";"National Monument";94988
"61";"1934";"1446610";"POLYGON";"http://nrdata.nps.gov/programs/Lands/TICA_metadata.xml";1;"Timpanogos Cave";"IM";"UT";"TICA";"Timpanogos Cave National Monument";"National Monument";5074
"62";"1969";"2733420";"POLYGON";"http://nrdata.nps.gov/programs/Lands/THIS_metadata.xml";1;"Theodore Roosevelt Island";"NC";"DC";"THIS";"Theodore Roosevelt Island";"National Memorial";194900
"63";"1984";"530776";"POLYGON";"http://nrdata.nps.gov/programs/Lands/LYBA_metadata.xml";1;"Lyndon Baines Johnson Grove";"NC";"DC";"LYBA";"Lyndon Baines Johnson Memorial Grove on the Potomac";"National Memorial";1081095
"64";"1936";"1888900";"MULTIPOLYGON";"http://nrdata.nps.gov/programs/Lands/ARHO_metadata.xml";1;"Arlington House";"NC";"VA";"ARHO";"Arlington House, The Robert E. Lee Memorial";"National Memorial";7e+05
